llm_question,response,symptom,topic_key,expected_output
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
ہاں
""""""",medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں ہاں کہتا ہوں,medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,ہم ہاں,medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
ہاں، میں ان کا استعمال پچھلے ہفٹے شروع کر گئے ہوں۔
""""""",medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں نے میڈیکل کا استعمال اپنے ڈاکٹر کی سفارش کے مطابق شروع کر دیا۔,medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
ہاں، میں نے اب تک کچھ دنوں سے میرے بس فوسفونیٹ ٹیبلیٹ لیے ہیں۔
""""""",medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں نے کل دوا شروع کر دی تھی۔,medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
ہاں، میں نے شروع کردیا ہے اور میں ٹیبلیٹ لینے کا دوسرا ہفتہ گزار رہا ہوں۔
""""""",medication_started,llm-fls-adherence@1.0.0,True
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,نہیں,medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,نہیں ہے نہیں,medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
نہیں، میں ان کا سیٹ کرنا بھی نہیں شروع کر چکا ہوں۔
""""""",medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں اسٹیوپوروسس کے لئے کسی دوا پر نہیں ہوں۔,medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
ابھی نہیں، میں ابھی بھی اپنے اختیارات پر غور کر رہا ہوں۔
""""""",medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
نہیں، میرا ڈاکٹر صرف ان کی دوا پیش کر دیا ہے لیکن میں نے پریسکرپشن بھری نہیں ہے۔
""""""",medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں بس فوسفونیٹ ٹیبلیٹ لینا شروع نہیں کر چکا ہوں۔,medication_started,llm-fls-adherence@1.0.0,False
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,شاید، میں واقعی یقین نہیں کرتا۔,medication_started,llm-fls-adherence@1.0.0,Unsure
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں تقریباً یقین کرتا ہوں کہ میں شروع کر گیا تھا، لیکن میں مطابقت کا تعین کرتا ہوں۔,medication_started,llm-fls-adherence@1.0.0,Unsure
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,شاید میرے کو اپنی دوا کی روزانہ داری کا جدول دیکھنا ہوگا۔,medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں یقین کرتا ہوں کہ میں شروع کرنے وालا تھا، لیکن یہ نہیں پتہ چل رہا کہ میں نے واقعی شروع کیا ہے یا نہیں۔,medication_started,llm-fls-adherence@1.0.0,Unsure
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,مujھے اپنی دواوں کی فہرست چک کرنے جانا چاہئے۔,medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں اسے سوچتا ہوں، لیکن میری دوا کی بکس کا میں چک کرنا ہوگا۔,medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں اپنے دواخانے کو تصدیق کرنے کے لئے فون کرنا چاہتا ہوں۔,medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
یہ اچھا سوال ہے، میں آپ کو بعد میں جواب دوں گا۔
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,میں اپنے کیلینڈر کو دیکھنا ہوگا تاکہ یاد کر سکوں۔,medication_started,llm-fls-adherence@1.0.0,Inconclusive
کیا آپ نے اپنے بس فوسفونیٹ ٹیبلیٹ لینا شروع کر دیا ہے؟,"""""""
آپ دوبارہ یاد دلائیں کہ دوا کا مقصد کیا ہے؟
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
"""""""
آپ نے اپنی دوا لینا شروع کر دیا ہے
""""""","""""""
ہاں
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
"""""""
آپ نے اپنی دوا لینا شروع کر دیا ہے
""""""",میں ہوں,medication_started,llm-fls-adherence@1.0.0,Inconclusive
