llm_question,response,context,topic_key,expected_output
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,"""""""
ہاں میں نیوزپیپر نہیں پڑھ سکتا ہوں
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,"""""""
ہاں اور میں سلائیل کھینچتے ہوئے دو بار گر گیا
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,میں لوگوں کے چہرے پہچاننے میں مشکل سامنے آتی ہے اور چلنا کرتے وقت میں ناپائیب کا محسوس کرتا ہوں,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,"""""""
قرائت مسئلہ بن گئی ہے
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,"""""""
ہاں، رات کو ڈرائیو کرنا مشکل ہوتا ہے اور میں اخیر میں کچھ غلط فیصلے لیے ہیں
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
کیا آپ کی نظر دیکھنے کی صلاحیت کو کام کرنا، گاڑی چلانا، پڑھنا، ٹی وی دیکھنا یا چہرے پہچاننا پر تاثر دے رہی ہے؟,میں اب زیادہ آہستہ چلتا ہوں، خاص طور پر سلائیز پر,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
کیا آپ کسی خون پھیلانے دوا کا استعمال کر رہے ہیں؟,"""""""
ہاں، میں اپنی دل کی بیماری کے لئے وارفارین کا استعمال کرتا ہوں
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
کیا آپ کسی خون پھیلانے دوا کا استعمال کر رہے ہیں؟,میں روزانہ اسپرین کھاتا ہوں,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
کیا آپ کسی خون پھیلانے دوا کا استعمال کر رہے ہیں؟,ہاں لیکن میں نام نہیں جانتا ہوں,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
کیا آپ کسی خون پھیلانے دوا کا استعمال کر رہے ہیں؟,"""""""
میں رامیپرل کا استعمال کرتا ہوں، کیا یہ خون کا پتلا کنdra ہے؟
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
