llm_question,response,symptom,topic_key,expected_output
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ja
""""""",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ich habe ja
""""""",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
mhmm ja
""""""",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ja, ich habe sie letzte Woche angefangen zu nehmen.
""""""",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Ich habe meine Medikation wie von meinem Arzt verschrieben begonnen.,medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Ja, ich nehme meine Bisphosphonattabletten schon seit ein paar Tagen ein.",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Ich habe die Medikation gestern begonnen.,medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ja, ich habe angefangen und bin in meiner zweiten Woche der Einnahme der Tabletten.
""""""",medication_started,llm-fls-adherence@1.0.0,True
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Nein,medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Noch nicht nein,medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Nein, ich habe sie noch nicht eingenommen.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ich nehme keine Medikamente für Osteoporose.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Noch nicht, ich überlege noch meine Optionen.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Nein, mein Arzt hat sie mir verschrieben, aber ich habe die Rezept noch nicht abgeholt.",medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Ich habe noch nicht mit dem Einnehmen der Bisphosphonat-Tabletten begonnen.,medication_started,llm-fls-adherence@1.0.0,False
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Vielleicht, ich bin mir nicht wirklich sicher.",medication_started,llm-fls-adherence@1.0.0,Unsure
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ich bin fast sicher, dass ich angefangen habe, aber lass mich das bestätigen.
""""""",medication_started,llm-fls-adherence@1.0.0,Unsure
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Möglicherweise müsste ich meinen Medikationsplan überprüfen.,medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ich glaube, ich sollte anfangen, aber ich bin mir nicht sicher, ob ich das wirklich getan habe.
""""""",medication_started,llm-fls-adherence@1.0.0,Unsure
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,Lass mich meine Medikamentenliste überprüfen.,medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"""""""
Ich denke schon, aber ich muss meine Medikamentenschachtel überprüfen.
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Ich muss meine Apotheke anrufen, um das zu bestätigen.",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Das ist eine gute Frage, ich muss Ihnen später darauf antworten.",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Ich werde mein Kalender anschauen müssen, um mich zu erinnern.",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Haben Sie mit dem Einnehmen Ihrer Bisphosphonat-Tabletten begonnen?,"Kannst du mir noch einmal sagen, wofür das Medikament ist?",medication_started,llm-fls-adherence@1.0.0,Inconclusive
"""""""
Hast du schon damit begonnen, deine
""""""","""""""
ja
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
"""""""
Hast du schon damit begonnen, deine
""""""","""""""
Ich bin
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
"Würden Sie teilen, was Sie dazu gebracht hat, mit dem Einnehmen Ihrer Medikamente aufzuhören oder gar nicht erst damit zu beginnen?","""""""
Ich habe meine Medikation abgesetzt, weil ich Nebenwirkungen erlebt habe.
""""""",non_adherence_reasons,llm-fls-adherence@1.0.0,True
"Würden Sie teilen, was Sie dazu gebracht hat, mit dem Einnehmen Ihrer Medikamente aufzuhören oder gar nicht erst damit zu beginnen?","""""""
Ich hatte einige Nebenwirkungen
""""""",non_adherence_reasons,llm-fls-adherence@1.0.0,True
"Würden Sie teilen, was Sie dazu gebracht hat, mit dem Einnehmen Ihrer Medikamente aufzuhören oder gar nicht erst damit zu beginnen?","""""""
Die Kosten waren zu hoch für mich, um sie zu tragen.
""""""",non_adherence_reasons,llm-fls-adherence@1.0.0,True
"Würden Sie teilen, was Sie dazu gebracht hat, mit dem Einnehmen Ihrer Medikamente aufzuhören oder gar nicht erst damit zu beginnen?","Ich hatte das Gefühl, dass die Medikamente nicht wirken, daher habe ich sie eingestellt.",non_adherence_reasons,llm-fls-adherence@1.0.0,True
