llm_question,response,symptom,topic_key,expected_output
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Oui
""""""",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
J'ai oui
"""""" 

However, this translation doesn't make much sense in French. A more natural way to express ""I have yes"" would be:

""""""
J'ai bien
"""""" 

Or if you meant to say ""I do have"" or ""I do"":

""""""
J'ai bien
""""""

Please clarify if you meant something else.",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
mhmm oui
""""""",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Oui, j'ai commencé à les prendre la semaine dernière.
""""""",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,J'ai commencé mon médicament comme prescrit par mon médecin.,medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Oui, je prends mes comprimés de bisphosphonate depuis quelques jours maintenant.
""""""",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,J'ai commencé le médicament hier.,medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Oui, j'ai commencé et je suis à ma deuxième semaine de prise des comprimés.
""""""",medication_started,llm-fls-adherence@1.0.0,True
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,Non,medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,Pas encore non,medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Non, je ne les ai pas encore commencés.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,Je ne prends aucun médicament pour l'ostéoporose.,medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Pas encore, je suis toujours en train d'envisager mes options.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Non, mon médecin vient juste de me les prescrire, mais je n'ai pas encore retiré l'ordonnance.
""""""",medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,Je n'ai pas encore commencé à prendre les comprimés de bisphosphonate.,medication_started,llm-fls-adherence@1.0.0,False
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"Peut-être, je ne suis pas vraiment sûr.",medication_started,llm-fls-adherence@1.0.0,Unsure
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Je suis presque certain d'avoir commencé, mais laissez-moi confirmer.
""""""",medication_started,llm-fls-adherence@1.0.0,Unsure
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Peut-être, je devrais regarder mon emploi du temps pour les médicaments.
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Je crois que j'étais censé commencer, mais je ne suis pas sûr d'avoir vraiment commencé.
""""""",medication_started,llm-fls-adherence@1.0.0,Unsure
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Laissez-moi aller vérifier ma liste de médicaments.
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"Je pense, mais je dois vérifier ma boîte de médicaments.",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,J'ai besoin d'appeler ma pharmacie pour confirmer.,medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"C'est une bonne question, je te reviendrai avec une réponse.",medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,Je vais devoir regarder mon calendrier pour me souvenir.,medication_started,llm-fls-adherence@1.0.0,Inconclusive
Avez-vous commencé à prendre vos comprimés de bisphosphonate ?,"""""""
Pouvez-vous me rappeler à quoi sert le médicament ?
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
