llm_question,response,symptom,topic_key,expected_output
你开始服用双膦酸盐片了吗？,"""""""
是的
""""""",medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,我有,medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,呣，嗯。,medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,"""""""
是的，我上周开始服用它们。
""""""",medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,我按照医生的指示开始服用药物。,medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,是的，我已经服用双膦酸盐片几天了。,medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,我昨天开始服用药物。,medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,"""""""
是的，我已经开始了，现在正在服用药片的第二周。
""""""",medication_started,llm-fls-adherence@1.0.0,True
你开始服用双膦酸盐片了吗？,不,medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,还没好,medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,"""""""
不，我还没有开始服用。
""""""",medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,我没有任何治疗骨质疏松的药物。,medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,还没呢，我还在考虑我的选择。,medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,"""""""
不，我的医生刚开了处方，但我还没去配药。
""""""",medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,我还没有开始服用双膦酸盐片。,medication_started,llm-fls-adherence@1.0.0,False
你开始服用双膦酸盐片了吗？,"""""""
也许，我不太确定。
""""""",medication_started,llm-fls-adherence@1.0.0,Unsure
你开始服用双膦酸盐片了吗？,我几乎可以确定我开始了，但让我确认一下。,medication_started,llm-fls-adherence@1.0.0,Unsure
你开始服用双膦酸盐片了吗？,可能，我得看看我的服药时间表。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,我相信我应该开始，但我不确定我是否真的开始了。,medication_started,llm-fls-adherence@1.0.0,Unsure
你开始服用双膦酸盐片了吗？,让我去查一下我的药物清单。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,我觉得是这样，但我需要检查我的药盒。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,我需要打电话给我的药店确认。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,这是一个好问题，我得回头再答复你。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,我得看看我的日历才能想起来。,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用双膦酸盐片了吗？,你能再提醒我一下这药是治什么的吗？,medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用你的,"""""""
是的
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
你开始服用你的,"""""""
我是
""""""",medication_started,llm-fls-adherence@1.0.0,Inconclusive
你愿意分享是什么原因让你停止或没有开始服用药物吗？,我停止服用药物是因为我经历了副作用。,non_adherence_reasons,llm-fls-adherence@1.0.0,True
你愿意分享是什么原因让你停止或没有开始服用药物吗？,我有一些副作用,non_adherence_reasons,llm-fls-adherence@1.0.0,True
你愿意分享是什么原因让你停止或没有开始服用药物吗？,这个价格对我来说太高了，我负担不起。,non_adherence_reasons,llm-fls-adherence@1.0.0,True
你愿意分享是什么原因让你停止或没有开始服用药物吗？,我觉得药物没有效果，所以就停药了。,non_adherence_reasons,llm-fls-adherence@1.0.0,True
你愿意分享是什么原因让你停止或没有开始服用药物吗？,我担心长期的影响,non_adherence_reasons,llm-fls-adherence@1.0.0,True
你愿意分享是什么原因让你停止或没有开始服用药物吗？,我忘了续开处方药，之后一直没能跟上进度。,non_adherence_reasons,llm-fls-adherence@1.0.0,True
