llm_question,response,context,topic_key,expected_output
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,"""""""
是的，我再也读不了报纸了。
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,"""""""
是的，我下楼梯时摔了两次
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,我很难认出人的脸，走路时也感觉不稳。,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,阅读正在成为一个问题。,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,是的，晚上开车很难，我最近也出了几次小差错。,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否影响了您工作、开车、阅读、看电视或识别人脸的能力？,我现在走得更慢了，尤其是在楼梯上。,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,是的，我因为心脏问题服用华法林。,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,我每天都在服用阿司匹林。,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,"""""""
是的，但我不知道名字
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,我服用的赖诺普利是一种血液稀释剂吗？,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,"""""""
是的，我正在服用氯吡格雷
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,阿哌沙班,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,"""""""
是的
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,FALSE
你正在服用任何抗凝血药物吗？,是的，我因为心脏问题服用华法林。,Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,TRUE
你正在服用任何抗凝血药物吗？,我每天都在服用阿司匹林。,Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,FALSE
你正在服用任何抗凝血药物吗？,我服用的赖诺普利是一种血液稀释剂吗？,Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,FALSE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,是的，我服用二甲双胍来治疗我的糖尿病。,Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,我正在使用胰岛素。,Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,"""""""
是的，为了我的血压
""""""",Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,FALSE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,我每天要服用几种药物。,Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,FALSE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,我正在服用雷米普利来治疗高血压。,Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,TRUE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,"""""""
是的，为了我的血压
""""""",Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,TRUE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,我每天要服用几种药物。,Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,FALSE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,我正在服用雷米普利来控制高血压，同时也服用维生素D补充剂。,Do you take any diabetes or blood pressure medication?,llm-cataract-pre-assessment@1.0.0,TRUE
为了确保我们全面了解您的健康状况，我需要询问您是否服用任何药物。您有服用任何常规药物吗？,"""""""
是的，我的血压和胆固醇
""""""",Do you take any diabetes or blood pressure medication?,llm-cataract-pre-assessment@1.0.0,TRUE
你经常使用轮椅吗？,"""""""
是的，我需要帮助才能进出。
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
你经常使用轮椅吗？,"""""""
对不起，什么
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,FALSE
你经常使用轮椅吗？,我出去购物时会用一个。,Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,FALSE
你经常使用轮椅吗？,"""""""
是的，我的看护帮我转移
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
你经常使用轮椅吗？,"""""""
是的，我完全不能走路
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,FALSE
你经常使用轮椅吗？,"""""""
是的
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,FALSE
你经常使用轮椅吗？,"""""""
不
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,FALSE
你通常需要帮助才能从椅子上站起来或坐下去吗？,"""""""
是的
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
你通常需要帮助才能从椅子上站起来或坐下去吗？,"""""""
不，我可以自己应付
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
你通常需要帮助才能从椅子上站起来或坐下去吗？,我的妻子帮助我。,Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
你通常需要帮助才能从椅子上站起来或坐下去吗？,"""""""
有时候
""""""",Do you usually need assistance getting in and out of your chair?,llm-cataract-pre-assessment@1.0.0,TRUE
您的视力是否导致跌倒或行动问题？,"""""""
是的，我摔倒过几次
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否导致跌倒或行动问题？,"""""""
不，不是真的
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否导致跌倒或行动问题？,我有时候觉得下楼时有点不平衡。,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
您的视力是否导致跌倒或行动问题？,我走得更慢了,Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
你服用哪些抗凝血药物？,华法林,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用哪些抗凝血药物？,阿司匹林,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用哪些抗凝血药物？,氯吡格雷,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用哪些抗凝血药物？,我不确定名字是什么。,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用华法林吗？,"""""""
是的
""""""",Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用华法林吗？,"""""""
不
""""""",Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用华法林吗？,我以前会，但现在不会了。,Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用药物来控制糖尿病吗？,"""""""
是的，二甲双胍
""""""",Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用药物来控制糖尿病吗？,我正在使用胰岛素。,Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
你服用药物来控制糖尿病吗？,"""""""
不，我没有糖尿病
""""""",Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
你吃药片来控制血压吗？,"""""""
是的，雷米普利
""""""",Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,TRUE
你吃药片来控制血压吗？,我的血压很好。,Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,TRUE
你吃药片来控制血压吗？,氨氯地平,Do you take any tablets to control your blood pressure?,llm-cataract-pre-assessment@1.0.0,TRUE
您在手术后是否有任何视力模糊的情况？,"""""""
附近就可以
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
您在手术后是否有任何视力模糊的情况？,"""""""
附近就可以
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
附近就可以
""""""",ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，保持距离
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，保持距离
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，保持距离
""""""",ability to see close up - while reading,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，近距离
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，近距离
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的，近距离
""""""",ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
两者
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
两者
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
两者
""""""",ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处也看不到近处。,"occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处也看不到近处。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处也看不到近处。,ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我不能近距离看。,"occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我不能近距离看。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,我不能近距离看。,ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处。,"occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,我看不到远处。,ability to see close up - while reading,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
两者
""""""","occurrence of blurry vision - are you having trouble seeing clearly at a distance, up close, or both?",llm-cataract@1.0.0,TRUE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你是否在看远处、近处或两者时都有视力问题？,"""""""
是的
""""""",ability to see close up - while reading,llm-cataract@1.0.0,FALSE
我想收集一些关于你眼睛恢复的信息，我会把这些信息分享给你的医生。所以，自从手术以来，你的眼睛怎么样了？,嗯，我觉得我挺好的，有时候有点痒，有几个漂浮物。,onset - when exactly did you first notice the floaters?,llm-cataract@1.0.0,FALSE
我想收集一些关于你眼睛恢复的信息，我会把这些信息分享给你的医生。所以，自从手术以来，你的眼睛怎么样了？,嗯，我觉得我挺好的，有时候有点痒，有几个漂浮物。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
我想收集一些关于你眼睛恢复的信息，我会把这些信息分享给你的医生。所以，自从手术以来，你的眼睛怎么样了？,嗯，我觉得我挺好的，有时候有点痒，有几个漂浮物。,how often - are you seeing these floaters frequently or occasionally?,llm-cataract@1.0.0,FALSE
您是否在看远处的物体或阅读时出现视力模糊的情况？,"""""""
是的是的我有是的
""""""",ability to see close up - while reading,llm-cataract@1.0.0,FALSE
您是否在看远处的物体或阅读时出现视力模糊的情况？,我读得不太好。,ability to see close up - while reading,llm-cataract@1.0.0,TRUE
您是否在看远处的物体或阅读时出现视力模糊的情况？,"""""""
是的，当我读到
""""""",ability to see close up - while reading,llm-cataract@1.0.0,TRUE
您是否在看远处的物体或阅读时出现视力模糊的情况？,"""""""
是的，两个都是
""""""",ability to see close up - while reading,llm-cataract@1.0.0,TRUE
您是否在看远处的物体或阅读时出现视力模糊的情况？,只有在远处,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
您是否在看远处的物体或阅读时出现视力模糊的情况？,"""""""
是的，我看不到远处
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你在看电视的时候多一些，还是在试图阅读的时候多一些？,我的阅读视力,ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你在看电视的时候多一些，还是在试图阅读的时候多一些？,看电视,ability to see close up - while reading,llm-cataract@1.0.0,FALSE
你在看电视的时候多一些，还是在试图阅读的时候多一些？,"""""""
两者
""""""",ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你在看电视的时候多一些，还是在试图阅读的时候多一些？,在阅读时减少,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你的视力自从手术后有改善吗？,它已经有所改善，因为现在我可以看电视了，但我还是不能读书。,ability to see close up - while reading,llm-cataract@1.0.0,TRUE
你的视力自从手术后有改善吗？,视力有所改善。,ability to see close up - while reading,llm-cataract@1.0.0,FALSE
你的视力自从手术后有改善吗？,它已经有所改善，因为现在我可以看电视了，但我还是不能读书。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,TRUE
你的视力自从手术后有改善吗？,这真的比以前差多了。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你做完白内障手术后眼睛怎么样了？,它曾经更好，但现在变得模糊了。,ability to see - at a distance such as watching TV,llm-cataract@1.0.0,FALSE
你做完白内障手术后眼睛怎么样了？,我的视力越来越差了。,ability to see close up - while reading,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,"""""""
现在它们只在第一周出现了，之后就消失了
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,我之前确实有一些。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,"""""""
第一次做的时候是这样的，但现在不是了。
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,“是的，还有黑点之类的东西”,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,我看到视野中有黑点。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,有这些小小的蜘蛛网东西,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,"""""""
一些小小的黑点，但不多，只是早晨起床时有，然后就没了。
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,我在手术前的几年里一直有飞蚊症。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你是否注意到手术后视野中出现了小黑点或蜘蛛网状的物体？,我有小点点,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,最近情况变得更糟了。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,他们比以前更烦人了。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,"""""""
不是增加了，我有飞蚊症，但并不比以前多
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,我认为我的飞蚊症没有加重。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,"""""""
我不觉得我最近有更多的飞蚊症
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,浮游物肯定越来越严重了。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,黑点现在更烦人了。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,"""""""
不
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
所以你是说，自从手术后你注意到视野中有一些小的黑点或蛛网状物。你能告诉我它们是否有变化或数量是否增加了吗？,"""""""
是的，我以前没有它们
""""""",increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,TRUE
你做完白内障手术后眼睛怎么样了？,我有一些小点，它们在我身上四处移动，我喜欢它们所有的样子。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你做完白内障手术后眼睛怎么样了？,我看到很多黑点。,increase or change in floaters - are they changing or increasing?,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,"""""""
是的
""""""",frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,"""""""
不太疼，只是知道那个地方有点疼，今天早上都还好，很轻微
""""""",frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,只有在滴了之后，我的眼睛才刺痛。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,是的，昨晚很疼，尤其是在我吃完抗生素之后。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你做完白内障手术后眼睛怎么样了？,很疼,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你做完白内障手术后眼睛怎么样了？,它是嫩的,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,这让我很烦躁。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,是的，我有很多疼痛。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,它比粗糙更痛,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛现在疼吗？,我觉得整体上痛苦在减少。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,一直很痛苦,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,"""""""
是的，有时候会痛，当我以为自己不应该感到的时候，我意识到了它，它给我带来了一种钝痛。
""""""",frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,"""""""
一直都很疼，尤其是在早上
""""""",frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,疼痛正在减轻。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你眼睛的疼痛是有时出现还是持续不断？,昨天情况相当糟糕，但今天早上我起床时还是感到疼痛。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,只有当雨滴刺痛时,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你眼睛的疼痛是有时出现还是持续不断？,偶尔有点疼,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,我正在受苦。,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你的眼睛疼吗？,"""""""
疼痛 凉爽 超过
""""""",frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
你眼睛的疼痛是有时出现还是持续不断？,它感觉很粗糙,frequency of pain - some of the time or all the time,llm-cataract@1.0.0,FALSE
好的，你感觉有点酸痛，而且这种感觉时有时无。你能详细描述一下这种酸痛的感觉吗？是主要是沙沙的或干燥的感觉，还是其他什么感觉？,"""""""
嗯，对，完全正确，嗯，有时候有点枯燥
""""""","description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
好的，所以你的眼睛有时会感到一些疼痛。你能告诉我疼痛的感觉是怎样的吗——主要是沙砾感或干燥感，还是其他感觉？,干燥感,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,有时候有点干燥,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛现在疼吗？,有时候有点干燥,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,有时候有点干燥,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,它们有点粗糙,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？任何程度的疼痛都算。,它们有点粗糙,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？任何程度的疼痛都算。,它们有点粗糙,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛疼吗？,只有在滴了之后，我的眼睛才刺痛。,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
你的眼睛现在疼吗？,只有在滴了之后，我的眼睛才刺痛。,"description of the pain - is it mostly a gritty or dry sensation, or something else?",llm-cataract@1.0.0,TRUE
