llm_question,response,context,topic_key,expected_output
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","""""""
ja, ich kann die Zeitung nicht mehr lesen
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","""""""
ja, und ich bin zweimal die Treppe hinuntergefallen
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","""""""
Ich habe Schwierigkeiten, Gesichter zu erkennen, und fühle mich unsicher beim Gehen.
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","""""""
das Lesen wird zu einem Problem
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","Ja, es ist schwierig, nachts zu fahren, und ich bin kürzlich ein paar Mal gestolpert.",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Beeinträchtigt Ihr Sehvermögen Ihre Fähigkeit zu arbeiten, zu fahren, zu lesen, fernzusehen oder Gesichter zu erkennen?
""""""","Ich gehe jetzt langsamer, besonders auf Treppe.",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
Nehmen Sie irgendwelche Blutverdünnungsmittel?,"""""""
Ja, ich nehme Warfarin für meine Herzkrankheit.
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Nehmen Sie irgendwelche Blutverdünnungsmittel?,Ich nehme täglich Aspirin.,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Nehmen Sie irgendwelche Blutverdünnungsmittel?,"""""""
ja, aber ich kenne den Namen nicht
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Nehmen Sie irgendwelche Blutverdünnungsmittel?,"""""""
Ich nehme Ramipril, ist das ein Blutverdünner?
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
