llm_question,response,context,topic_key,expected_output
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
oui je ne peux plus lire le journal
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
oui et je suis tombé deux fois en descendant les escaliers
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
J'ai du mal à reconnaître les visages des gens et je me sens instable en marchant
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
la lecture devient un problème
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,FALSE
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
oui, c'est difficile de conduire la nuit et j'ai eu quelques difficultés récemment
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
"""""""
Votre vue affecte-t-elle votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître des visages ?
""""""","""""""
Je vais plus lentement maintenant, surtout sur les escaliers
""""""",Is your eyesight causing falls or mobility problems?,llm-preop-cataract@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
oui, je prends de la warfarine pour mon problème cardiaque
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,Je prends de l'aspirine quotidiennement.,What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
oui, mais je ne connais pas le nom
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
Je prends du ramipril, est-ce un anticoagulant ?
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
oui, je prends du clopidogrel
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
apixaban
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,"""""""
oui
""""""",What blood thinners do you take?,llm-cataract-pre-assessment@1.0.0,FALSE
Prenez-vous des anticoagulants ?,"""""""
oui, je prends de la warfarine pour mon problème cardiaque
""""""",Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,TRUE
Prenez-vous des anticoagulants ?,Je prends de l'aspirine quotidiennement.,Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,FALSE
Prenez-vous des anticoagulants ?,"""""""
Je prends du ramipril, est-ce un anticoagulant ?
""""""",Do you take warfarin?,llm-cataract-pre-assessment@1.0.0,FALSE
"""""""
Pour nous assurer que nous avons une vue d'ensemble de votre santé, j'ai besoin de vous demander si vous prenez des médicaments. Prenez-vous des médicaments régulièrement ?
""""""","""""""
Oui, je prends du métformine pour mon diabète.
""""""",Do you take medication to control your diabetes?,llm-cataract-pre-assessment@1.0.0,TRUE
