language,source_file,deduped_identifier,row_type,topic_key,hash,source_identifiers,original_text,translated_text
Arabic,detect_followup_info_in_previous_user_response.csv,FQ1,question,llm-preop-cataract@1.0.0,f90b0d635dcc,FQ1,"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?",هل يتأثر بصرك بقدرتك على العمل أو القيادة أو القراءة أو مشاهدة التلفزيون أو التعرف على الأشخاص؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.1,answer,llm-preop-cataract@1.0.0,ea022bf80a1d,FA1.1,yes I can't read the newspaper anymore,نعم، لا أستطيع قراءة الجريدة بعد الآن
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.2,answer,llm-preop-cataract@1.0.0,db335e89537a,FA1.2,yes and I've fallen twice going down the stairs,نعم وسقطت مرتين أثناء النزول من الدرج
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.3,answer,llm-preop-cataract@1.0.0,944393cd1eb8,FA1.3,I struggle to recognize people's faces and I feel unsteady when walking,أواجه صعوبة في التعرف على وجوه الناس وأشعر بالتردد عند المشي
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.4,answer,llm-preop-cataract@1.0.0,b71bd00b5bc6,FA1.4,reading is becoming a problem,القراءة أصبحت مشكلة
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.5,answer,llm-preop-cataract@1.0.0,2352388f8977,FA1.5,yes it's hard to drive at night and I've had a few stumbles recently,نعم من الصعب القيادة في الليل وقد تعرضت لبعض الانزلاقات مؤخرًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA1.6,answer,llm-preop-cataract@1.0.0,a4f4d696bcb0,FA1.6,I go more slowly now especially on stairs,أذهب ببطء أكبر الآن خاصة على الدرج
Arabic,detect_followup_info_in_previous_user_response.csv,FQ2,question,llm-cataract-pre-assessment@1.0.0,c0b191009e42,FQ2,Are you taking any blood thinners?,هل تتناول أي من مزيلات الدم؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.1,answer,llm-cataract-pre-assessment@1.0.0,73e17db63ef9,FA2.1|FA2.8,yes I take warfarin for my heart condition,نعم، آخذ وارفارين لمرضي القلب
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.2,answer,llm-cataract-pre-assessment@1.0.0,1f32068106f5,FA2.2|FA2.9,I'm on aspirin daily,أنا آخذ الأسبرين يوميًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.3,answer,llm-cataract-pre-assessment@1.0.0,8e6ee0180b72,FA2.3,yes but I don't know the name,نعم ولكن لا أعرف الإسم
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.4,answer,llm-cataract-pre-assessment@1.0.0,fc89bb3e19dd,FA2.4|FA2.10,I take Ramipril is that a blood thinner,أنا آخذ راميبيريل، هل هو من مزيلات الدم؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.5,answer,llm-cataract-pre-assessment@1.0.0,8c100886b1da,FA2.5,yes I'm on clopidogrel,نعم أنا على كلوپيدوجريل
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.6,answer,llm-cataract-pre-assessment@1.0.0,23cf1c28d40a,FA2.6,apixaban,أبيكسابان
Arabic,detect_followup_info_in_previous_user_response.csv,FA2.7,answer,llm-cataract-pre-assessment@1.0.0,c4ae9efdc2ce,FA2.7,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FQ3,question,llm-cataract-pre-assessment@1.0.0,c450df48d58f,FQ3,"To ensure we have a full picture of your health, I need to ask about any medications you take. Do you take any regular medication?",لضمان حصولنا على صورة كاملة لصحتك، أحتاج إلى سؤال عن أي أدوية تتناولها. هل تتناول أي دواء منتظم؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.1,answer,llm-cataract-pre-assessment@1.0.0,a92d5799e1e5,FA3.1,yes I take metformin for my diabetes,نعم، آخذ ميتفورمين لمرض السكري الخاص بي
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.2,answer,llm-cataract-pre-assessment@1.0.0,cd187e1ff8b2,FA3.2,I'm on insulin,أنا على إنسولين
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.3,answer,llm-cataract-pre-assessment@1.0.0,80514e5f9005,FA3.3|FA3.6,yes for my blood pressure,نعم من أجل ضغط الدم
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.4,answer,llm-cataract-pre-assessment@1.0.0,efaa7a8be9f4,FA3.4|FA3.7,I take several medications daily,أتناول العديد من الأدوية يوميًا
