original_dora_question,machine_translated_dora_question,Language,edit_required_dora_question,IF YES: post_edited_dora_question,post_edited_question_cmqm_class,annotator_notes_question,original_answer,machine_translated_answer,edit_required_answer,IF YES: post_edited_answer_translation,post_edited_answer,post_edited_answer_cmqm_class,annotator_notes_answer,Phase 2 error_categories
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"yes I can't read the newspaper anymore","oui, je n'arrive plus à lire le journal",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"yes I can't read the newspaper anymore","sí, ya no puedo leer el periódico",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"yes and I've fallen twice going down the stairs","oui, et je suis tombé(e) deux fois en descendant les escaliers",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"yes and I've fallen twice going down the stairs","sí, y me he caído dos veces al bajar las escaleras",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"I struggle to recognize people's faces and I feel unsteady when walking","j'ai du mal à reconnaître les visages des gens et je me sens instable quand je marche",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"I struggle to recognize people's faces and I feel unsteady when walking","me cuesta reconocer las caras de la gente y me siento inestable al caminar",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"reading is becoming a problem","lire devient difficile",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"reading is becoming a problem","leer se está volviendo un problema",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"yes it's hard to drive at night and I've had a few stumbles recently","oui, il m'est difficile de conduire la nuit et j'ai trébuché plusieurs fois récemment",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"yes it's hard to drive at night and I've had a few stumbles recently","sí, me cuesta conducir de noche y últimamente he tropezado varias veces",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","Est-ce que votre vue affecte votre capacité à travailler, conduire, lire, regarder la télévision ou reconnaître les visages ?",French,,,,,"I go more slowly now especially on stairs","je vais plus lentement maintenant, surtout dans les escaliers",,,,,,
"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?","¿Su vista está afectando su capacidad para trabajar, conducir, leer, ver la televisión o reconocer caras?",Spanish,,,,,"I go more slowly now especially on stairs","ahora voy más despacio, especialmente en las escaleras",,,,,,
"Are you taking any blood thinners?","Prenez-vous des anticoagulants ?",French,,,,,"yes I take warfarin for my heart condition","oui, je prends de la warfarine pour mon problème cardiaque",,,,,,
"Are you taking any blood thinners?","¿Está tomando algún anticoagulante?",Spanish,,,,,"yes I take warfarin for my heart condition","sí, tomo warfarina para mi problema del corazón",,,,,,
"Are you taking any blood thinners?","Prenez-vous des anticoagulants ?",French,,,,,"I'm on aspirin daily","je prends de l'aspirine tous les jours",,,,,,
"Are you taking any blood thinners?","¿Está tomando algún anticoagulante?",Spanish,,,,,"I'm on aspirin daily","tomo aspirina todos los días",,,,,,
"Are you taking any blood thinners?","Prenez-vous des anticoagulants ?",French,,,,,"yes but I don't know the name","oui, mais je ne connais pas le nom",,,,,,
"Are you taking any blood thinners?","¿Está tomando algún anticoagulante?",Spanish,,,,,"yes but I don't know the name","sí, pero no sé el nombre",,,,,,
"Are you taking any blood thinners?","Prenez-vous des anticoagulants ?",French,,,,,"I take Ramipril is that a blood thinner","je prends du ramipril, est-ce que c'est un anticoagulant ?",,,,,,
"Are you taking any blood thinners?","¿Está tomando algún anticoagulante?",Spanish,,,,,"I take Ramipril is that a blood thinner","tomo ramipril, ¿eso es un anticoagulante?",,,,,,
