Identifier,Topic Key,English Source,Machine Translation,Edit Required,Clinical Harm Potential,Post-Edited Translation,CMQM Categories,MQM Categories,Notes
SQ127,llm-cataract-hpi-us@1.0.0,"Thanks for taking part in this research trial! I'm here to share information and answer general questions, but I can't give medical advice, diagnosis, or treatment. If you think you have an emergency, please call your doctor or dial nine one one right away. Does that make sense?",感谢您参与这项研究试验！我在这里分享信息并回答一般问题，但我不能提供医疗建议、诊断或治疗。如果您认为自己遇到紧急情况，请立即拨打医生电话或拨打911。这样说有道理吗？,,,,,,
SA127.1,llm-cataract-hpi-us@1.0.0,"Yes, that makes sense.",是的，那是有道理的。,,,,,,
SA127.2,llm-cataract-hpi-us@1.0.0,I understand.,我明白。,,,,,,
SA127.3,llm-cataract-hpi-us@1.0.0,"Yeah, got it.",好，明白了。,,,,,,
SA127.4,llm-cataract-hpi-us@1.0.0,"No, I don't understand what you mean.",“不，我不明白你的意思。”,,,,,,
SA127.5,llm-cataract-hpi-us@1.0.0,What? Can you repeat that?,“什么？你能再说一遍吗？”,,,,,,
SA127.6,llm-cataract-hpi-us@1.0.0,Uh huh,恩,,,,,,
SQ128,llm-cataract-hpi-us@1.0.0,Do your vision problems persist even with your current glasses or corrective lenses?,您目前佩戴的眼镜或矫正镜片是否仍然无法解决您的视力问题？,,,,,,
SA128.1,llm-cataract-hpi-us@1.0.0,"Yes, my glasses don't help anymore.",是的，我的眼镜已经没有用了。,,,,,,
SA128.2,llm-cataract-hpi-us@1.0.0,"Even with new glasses, I still can't see well.",即使戴上了新眼镜，我还是看不清楚。,,,,,,
SA128.3,llm-cataract-hpi-us@1.0.0,I just got new glasses and they didn't help at all.,我刚买了新眼镜，但它们根本没有帮助。,,,,,,
SA128.4,llm-cataract-hpi-us@1.0.0,"No, my glasses work fine.",“ 不是，我的眼镜没问题。 ”,,,,,,
SA128.5,llm-cataract-hpi-us@1.0.0,My glasses help a lot actually.,我的眼镜实际上帮了很大的忙。,,,,,,
SA128.6,llm-cataract-hpi-us@1.0.0,I don't wear glasses.,我不戴眼镜。,,,,,,
SQ129,llm-cataract-hpi-us@1.0.0,Do you have any pain in your eye?,你眼睛有没有感到疼痛？,,,,,,
SA129.1,llm-cataract-hpi-us@1.0.0,"Yes, my eye hurts.",是的，我的眼睛疼。,,,,,,
SA129.2,llm-cataract-hpi-us@1.0.0,I have a constant ache in my eye.,我眼里一直隐隐作痛。,,,,,,
SA129.3,llm-cataract-hpi-us@1.0.0,"It's quite painful, especially in bright light.",尤其是在明亮的光线下，相当痛苦。,,,,,,
SA129.4,llm-cataract-hpi-us@1.0.0,No pain at all.,一点也不痛。,,,,,,
SA129.5,llm-cataract-hpi-us@1.0.0,"No, it doesn't hurt.",不，不会痛。,,,,,,
SA129.6,llm-cataract-hpi-us@1.0.0,Just a bit of discomfort sometimes.,有时只是有点不舒服。,,,,,,
SA129.7,llm-cataract-hpi-us@1.0.0,Sorry what was the question again?,对不起，问题是什么来着？,,,,,,
SQ130,llm-cataract-hpi-us@1.0.0,"Do you ever see double, or notice ghost images when looking at things?",你有没有见过双影，或是在看东西时注意到鬼影？,,,,,,
SA130.1,llm-cataract-hpi-us@1.0.0,"Yes, I see double sometimes.",是的，有时候我会看到双影。,,,,,,
SA130.2,llm-cataract-hpi-us@1.0.0,I notice ghosting around text when I read.,我注意到文字周围有幽灵般的影子当我阅读时。,,,,,,
SA130.3,llm-cataract-hpi-us@1.0.0,"There's definitely double vision, especially at night.",肯定会出现双影，尤其是在夜晚。,,,,,,
SA130.4,llm-cataract-hpi-us@1.0.0,"No, I don't see double.",“不，我没有看到双影。”,,,,,,
SA130.5,llm-cataract-hpi-us@1.0.0,No ghost images or double vision.,没有鬼影或双影。,,,,,,
SA130.6,llm-cataract-hpi-us@1.0.0,I'm not sure what you mean by ghost images. What does it mean?,我不确定你说的“鬼影”是什么意思。什么是鬼影？,,,,,,
SQ131,llm-cataract-hpi-us@1.0.0,Has your vision affected your ability to drive?,你的视力是否影响了你的驾驶能力？,,,,,,
SA131.1,llm-cataract-hpi-us@1.0.0,"Yes, I've stopped driving at night.",是的，我已经停止了夜间驾驶。,,,,,,
